="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Pace (Inter)",="Pace (reg): COVID",="Pace (reg): Non-COVID",="AgeAccel (Inter)",="AgeAccel (reg): COVID",="AgeAccel (reg): Non-COVID"
="",="(0.0508)",="(0.0793)",="(0.0773)",="(1.094)",="(1.814)",="(1.459)"
="Network Size (All)=13",="0.00727",="0.00604",="-0.00506",="-0.518",="-0.799",="-1.487"
="",="(0.0557)",="(0.0818)",="(0.0831)",="(1.778)",="(2.257)",="(2.616)"
="Network Size (All)=14",="-0.00396",="-0.0899",="0.0715",="-0.526",="-2.304",="0.367"
="",="(0.0596)",="(0.0748)",="(0.0900)",="(1.324)",="(2.172)",="(1.434)"
="Network Size (All)=15",="0.0921",="0.172*",="-0.000970",="0.748",="0.828",="-1.134"
="",="(0.0917)",="(0.0846)",="(0.0853)",="(1.734)",="(2.293)",="(2.027)"
="Network Size (All)=16",="-0.0146",="0.00781",="-0.0930",="-0.394",="-0.00455",="-1.540"
="",="(0.0845)",="(0.112)",="(0.0756)",="(1.511)",="(2.011)",="(2.579)"
="Network Size (All)=18",="0.0224",="-0.190*",="0.0694",="-1.382",="-3.487",="-2.198"
="",="(0.0667)",="(0.0840)",="(0.0763)",="(1.641)",="(2.666)",="(1.684)"
="Network Size (All)=19",="0.0145",="0.00965",="",="-3.794**",="-4.354*",=""
="",="(0.0496)",="(0.0741)",="",="(0.971)",="(1.912)",=""
="Network Size (All)=20",="0.0199",="-0.235**",="0.124+",="0.106",="-3.812*",="1.408"
="",="(0.119)",="(0.0783)",="(0.0739)",="(2.326)",="(1.683)",="(1.102)"
="Network Size (All)=22",="0.218**",="",="0.215**",="-1.674+",="",="-1.903*"
="",="(0.0470)",="",="(0.0716)",="(0.957)",="",="(0.876)"
="Network Size (All)=24",="-0.0223",="-0.00310",="",="-1.583",="-1.462",=""
="",="(0.0477)",="(0.0714)",="",="(0.996)",="(2.006)",=""
="Network Size (All)=25",="-0.0543",="0.0648",="",="-4.285*",="-1.419",=""
="",="(0.0666)",="(0.122)",="",="(2.077)",="(2.822)",=""
="Number of Hasslers",="0.0250**",="0.0587**",="0.0178+",="0.901**",="1.938**",="0.674+"
="",="(0.00918)",="(0.0146)",="(0.00989)",="(0.327)",="(0.549)",="(0.353)"
="Never-married",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="0.000123",="0.0296",="-0.0129",="0.655",="1.077+",="0.517"
="",="(0.0127)",="(0.0178)",="(0.0167)",="(0.438)",="(0.561)",="(0.578)"
="Widowed/Divorced/Separated",="0.0226+",="0.0726**",="-0.00567",="1.913**",="3.325**",="1.206+"
="",="(0.0134)",="(0.0219)",="(0.0157)",="(0.525)",="(0.596)",="(0.628)"
="Never-married # Number of Hasslers",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner # Number of Hasslers",="-0.0138",="-0.0492*",="-0.00423",="-0.155",="-0.782",="0.0424"
="",="(0.00903)",="(0.0192)",="(0.0105)",="(0.438)",="(0.749)",="(0.487)"
="Widowed/Divorced/Separated # Number of Hasslers",="-0.00782",="-0.0652**",="0.0152",="-0.133",="-1.708*",="0.409"
="",="(0.0135)",="(0.0204)",="(0.0145)",="(0.486)",="(0.770)",="(0.501)"
="Constant",="1.644**",="1.623**",="1.661**",="20.17**",="19.47**",="21.11**"
="",="(0.0594)",="(0.0812)",="(0.0863)",="(1.269)",="(1.916)",="(1.328)"
="Observations",="2345",="915",="1430",="2345",="915",="1430"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
