="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="general_health",="mental_health",="physical_health",="anx_severity",="dep_severity",="inflammation",="multi_morbidity",="waist_to_hip_ratio",="bmi",="height"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="0.376",="0.168",="0.493",="-8.325",="-4.135",="0.000700",="0.354",="-0.0141",="3.312",="-3.083"
="",="(0.354)",="(0.348)",="(0.346)",="(7.874)",="(9.164)",="(0.00344)",="(0.330)",="(0.0365)",="(2.473)",="(4.070)"
="Network Size (All)=2",="0.430",="0.0912",="0.495",="-4.936",="-2.360",="-0.00111",="0.119",="-0.0223",="3.591",="-3.247"
="",="(0.381)",="(0.318)",="(0.395)",="(8.844)",="(9.374)",="(0.00351)",="(0.274)",="(0.0329)",="(2.544)",="(3.750)"
="Network Size (All)=3",="0.331",="0.0380",="0.524",="-5.710",="-3.684",="-0.00152",="0.190",="-0.0150",="3.866",="-2.318"
="",="(0.352)",="(0.321)",="(0.373)",="(8.343)",="(9.050)",="(0.00344)",="(0.258)",="(0.0321)",="(2.346)",="(3.707)"
="Network Size (All)=4",="0.307",="-0.0920",="0.536",="-5.032",="-4.033",="-0.000503",="0.292",="-0.00739",="3.711",="-0.984"
="",="(0.399)",="(0.329)",="(0.397)",="(7.848)",="(8.773)",="(0.00322)",="(0.286)",="(0.0347)",="(2.483)",="(3.820)"
="Network Size (All)=5",="-0.0837",="-0.300",="0.181",="-7.016",="-7.038",="-0.00392",="-0.0432",="-0.0333",="2.410",="-2.717"
="",="(0.383)",="(0.333)",="(0.381)",="(7.993)",="(9.139)",="(0.00326)",="(0.280)",="(0.0335)",="(2.423)",="(3.723)"
="Network Size (All)=6",="0.0528",="-0.154",="0.431",="-7.249",="-5.193",="-0.00164",="0.0108",="-0.0335",="2.719",="-1.108"
="",="(0.366)",="(0.327)",="(0.364)",="(8.221)",="(9.100)",="(0.00336)",="(0.254)",="(0.0328)",="(2.722)",="(3.912)"
="Network Size (All)=7",="0.120",="-0.0243",="0.435",="-2.895",="-3.983",="-0.00178",="0.234",="-0.0136",="3.831",="-1.574"
="",="(0.383)",="(0.349)",="(0.393)",="(8.048)",="(9.439)",="(0.00332)",="(0.276)",="(0.0309)",="(2.784)",="(3.791)"
="Network Size (All)=8",="0.132",="-0.196",="0.396",="-3.464",="-3.871",="-0.00420",="0.161",="-0.0358",="1.636",="-2.475"
="",="(0.424)",="(0.351)",="(0.416)",="(8.359)",="(9.556)",="(0.00351)",="(0.293)",="(0.0327)",="(2.594)",="(3.874)"
="Network Size (All)=9",="-0.0487",="-0.215",="0.239",="-9.683",="-9.304",="-0.00388",="-0.0743",="-0.0157",="1.518",="-3.016"
="",="(0.389)",="(0.358)",="(0.412)",="(8.598)",="(9.564)",="(0.00357)",="(0.288)",="(0.0393)",="(2.630)",="(3.995)"
="Network Size (All)=10",="-0.203",="-0.428",="0.245",="-4.511",="-7.776",="-0.00454",="-0.0982",="-0.0617+",="2.814",="-1.996"
="",="(0.385)",="(0.284)",="(0.384)",="(7.500)",="(9.281)",="(0.00326)",="(0.323)",="(0.0319)",="(3.258)",="(3.983)"
="Network Size (All)=11",="-0.0629",="-0.339",="0.221",="-9.147",="-8.726",="-0.00347",="0.000392",="-0.0605+",="2.954",="-1.333"
="",="(0.432)",="(0.358)",="(0.427)",="(8.436)",="(9.749)",="(0.00403)",="(0.367)",="(0.0346)",="(2.675)",="(3.812)"
="Network Size (All)=12",="-0.303",="-0.414",="0.135",="-5.380",="-5.233",="-0.00595",="0.121",="-0.0573",="-0.385",="-0.0471"
="",="(0.428)",="(0.329)",="(0.428)",="(8.488)",="(9.406)",="(0.00375)",="(0.390)",="(0.0349)",="(3.964)",="(4.193)"
="Network Size (All)=13",="-0.273",="-0.425",="0.0721",="-10.93",="-9.356",="-0.00308",="0.572",="-0.0115",="5.045",="-0.959"
="",="(0.428)",="(0.415)",="(0.471)",="(9.058)",="(9.643)",="(0.00445)",="(0.480)",="(0.0372)",="(3.791)",="(4.433)"
="Network Size (All)=14",="0.117",="-0.177",="0.204",="-10.84",="-8.657",="0.00142",="-0.198",="-0.0322",="2.139",="-2.746"
="",="(0.378)",="(0.360)",="(0.483)",="(8.425)",="(9.975)",="(0.00476)",="(0.297)",="(0.0400)",="(2.536)",="(3.798)"
