="Some college",="-0.0247+",="-1.001*",="-0.00515",="-1.118",="-0.0169",="-0.379",="-0.0207",="-0.654",="-0.0403+",="-2.990**",="-0.0450",="-0.183",="-0.0679**",="-0.910"
="",="(0.0128)",="(0.451)",="(0.0182)",="(0.776)",="(0.0221)",="(0.726)",="(0.0195)",="(1.015)",="(0.0239)",="(0.909)",="(0.0327)",="(0.909)",="(0.0210)",="(0.614)"
="College or higher",="-0.0628**",="-3.031**",="-0.0757**",="-3.495**",="-0.0676**",="-3.121**",="-0.0793**",="-3.865**",="-0.0545+",="-3.417**",="-0.0653*",="-2.025*",="-0.110**",="-1.867*"
="",="(0.0101)",="(0.450)",="(0.0217)",="(0.695)",="(0.0194)",="(0.717)",="(0.0160)",="(1.094)",="(0.0290)",="(0.975)",="(0.0317)",="(0.873)",="(0.0203)",="(0.714)"
="Never-married",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="-0.00937",="-0.172",="0.0300+",="0.426",="-0.0116",="0.0656",="-0.0352+",="-1.485+",="-0.0306",="-0.838",="-0.0863*",="-2.071*",="-0.0464",="-0.999"
="",="(0.0123)",="(0.335)",="(0.0150)",="(0.537)",="(0.0254)",="(0.788)",="(0.0197)",="(0.845)",="(0.0314)",="(1.290)",="(0.0384)",="(0.930)",="(0.0383)",="(1.203)"
="Widowed/Divorced/Separated",="0.0169",="1.137*",="0.109+",="2.382",="-0.0382",="1.098",="-0.0108",="-0.476",="0.0316",="0.838",="-0.0546",="-0.119",="-0.0155",="-0.268"
="",="(0.0125)",="(0.452)",="(0.0580)",="(2.417)",="(0.0299)",="(0.693)",="(0.0202)",="(1.128)",="(0.0273)",="(1.261)",="(0.0402)",="(1.252)",="(0.0374)",="(1.121)"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="0.00879",="-0.0519",="-0.0671",="-2.338",="0.0450",="-2.434",="0.0311",="2.457",="-0.0455",="-2.412",="-0.159*",="-0.776",="0.128+",="2.409"
="",="(0.0522)",="(1.190)",="(0.147)",="(2.775)",="(0.0620)",="(1.854)",="(0.0614)",="(2.834)",="(0.109)",="(1.761)",="(0.0760)",="(2.516)",="(0.0670)",="(1.922)"
="Network Size (All)=2",="0.0110",="0.825",="0.0127",="-0.510",="0.0346",="-3.522",="0.139**",="9.985**",="-0.0192",="-1.475",="-0.175*",="0.629",="0.0766",="1.486"
="",="(0.0545)",="(1.053)",="(0.153)",="(2.598)",="(0.0667)",="(2.259)",="(0.0378)",="(2.911)",="(0.103)",="(1.645)",="(0.0853)",="(2.303)",="(0.0572)",="(1.079)"
="Network Size (All)=3",="0.00751",="0.403",="-0.00658",="-2.471",="0.0200",="-1.565",="0.0651",="6.143*",="-0.0407",="-2.007",="-0.0751",="0.808",="0.105*",="1.419"
="",="(0.0498)",="(0.969)",="(0.138)",="(1.682)",="(0.0401)",="(1.180)",="(0.0424)",="(2.835)",="(0.104)",="(1.352)",="(0.0744)",="(2.119)",="(0.0505)",="(1.276)"
="Network Size (All)=4",="0.0103",="0.657",="-0.0116",="-1.895",="0.0351",="-1.464",="0.0690+",="5.947+",="-0.000510",="0.446",="-0.148+",="-0.446",="0.119*",="0.609"
="",="(0.0494)",="(0.922)",="(0.143)",="(1.637)",="(0.0346)",="(1.212)",="(0.0383)",="(2.975)",="(0.104)",="(1.373)",="(0.0744)",="(1.891)",="(0.0504)",="(1.163)"
="Network Size (All)=5",="-0.00867",="-0.707",="-0.00791",="-1.846",="-0.00366",="-3.514**",="0.0492",="4.126",="-0.0506",="-2.649+",="-0.120",="-1.006",="0.0739",="-0.0973"
="",="(0.0498)",="(0.869)",="(0.146)",="(1.717)",="(0.0409)",="(1.316)",="(0.0465)",="(2.966)",="(0.107)",="(1.533)",="(0.0724)",="(1.773)",="(0.0628)",="(1.408)"
="Network Size (All)=6",="-0.00846",="-0.138",="-0.0275",="-2.169",="0.00842",="-3.526**",="0.0212",="5.440+",="-0.0130",="-0.593",="-0.0825",="0.903",="0.0554",="0.306"
="",="(0.0481)",="(0.952)",="(0.145)",="(1.825)",="(0.0388)",="(1.228)",="(0.0422)",="(2.949)",="(0.103)",="(1.544)",="(0.0739)",="(1.987)",="(0.0597)",="(1.104)"
="Network Size (All)=7",="0.00853",="-0.707",="-0.00715",="-3.634+",="0.0247",="-2.737+",="0.0551",="4.195",="0.0300",="-1.203",="-0.0840",="-0.157",="0.0830",="0.605"
="",="(0.0494)",="(0.864)",="(0.148)",="(1.904)",="(0.0422)",="(1.556)",="(0.0427)",="(2.859)",="(0.0956)",="(1.587)",="(0.0721)",="(2.318)",="(0.0580)",="(1.146)"
="Network Size (All)=8",="-0.0422",="-1.333",="-0.0227",="-1.510",="-0.0249",="-2.978*",="0.0107",="3.063",="-0.0119",="-2.084",="-0.215*",="-4.437*",="0.0107",="-0.115"
="",="(0.0515)",="(1.099)",="(0.144)",="(2.050)",="(0.0520)",="(1.456)",="(0.0508)",="(3.414)",="(0.116)",="(1.683)",="(0.0808)",="(1.947)",="(0.0804)",="(1.618)"
="Network Size (All)=9",="-0.0154",="-0.470",="-0.0555",="-2.701",="0.0595",="-1.946+",="0.0714",="6.631+",="-0.0606",="-4.682**",="-0.188*",="-2.171",="0.154+",="2.034"
="",="(0.0527)",="(1.000)",="(0.152)",="(1.943)",="(0.0441)",="(1.042)",="(0.0591)",="(3.414)",="(0.107)",="(1.709)",="(0.0736)",="(2.301)",="(0.0882)",="(1.633)"
="Network Size (All)=10",="-0.0422",="-1.373",="0.0103",="-0.932",="-0.0856+",="-5.728**",="0.0250",="3.497",="-0.153",="-4.366*",="-0.0668",="1.890",="0.0544",="1.515"
="",="(0.0479)",="(1.032)",="(0.131)",="(1.544)",="(0.0459)",="(1.258)",="(0.0513)",="(2.891)",="(0.115)",="(1.896)",="(0.0949)",="(3.556)",="(0.0642)",="(1.552)"
="Network Size (All)=11",="-0.0158",="-1.318",="-0.0364",="-0.676",="-0.0420",="-4.945**",="0.00871",="4.444",="-0.0156",="-4.209*",="-0.135",="-1.383",="0.0980",="-0.355"
="",="(0.0557)",="(0.978)",="(0.152)",="(1.936)",="(0.0465)",="(1.263)",="(0.0444)",="(2.957)",="(0.116)",="(1.638)",="(0.0890)",="(2.537)",="(0.0719)",="(1.347)"
="Network Size (All)=12",="-0.0656",="-1.884+",="-0.0884",="-3.732",="0.0145",="-2.975",="0.0505",="1.975",="-0.0942",="-2.314",="-0.167+",="-1.219",="0.0437",="0.589"
="",="(0.0510)",="(1.045)",="(0.160)",="(2.278)",="(0.0462)",="(2.404)",="(0.0529)",="(3.124)",="(0.108)",="(1.857)",="(0.0896)",="(2.293)",="(0.0549)",="(1.516)"
="Network Size (All)=13",="0.0117",="-0.499",="0.00628",="-1.111",="0.103",="-1.336",="0.100+",="0.339",="0.0200",="0.582",="-0.216**",="-4.410+",="-0.00974",="-1.673"
="",="(0.0533)",="(1.489)",="(0.150)",="(2.432)",="(0.0636)",="(2.335)",="(0.0561)",="(3.144)",="(0.106)",="(2.147)",="(0.0805)",="(2.630)",="(0.0635)",="(1.272)"
="Network Size (All)=14",="-0.00381",="-0.778",="0.142",="0.763",="-0.0950*",="-7.173**",="0.164**",="8.547**",="",="",="-0.189+",="-3.157",="0.133*",="3.327*"
="",="(0.0579)",="(1.282)",="(0.150)",="(3.324)",="(0.0422)",="(1.541)",="(0.0578)",="(2.983)",="",="",="(0.106)",="(2.223)",="(0.0641)",="(1.271)"
="Network Size (All)=15",="0.0912",="1.298",="0.252+",="2.211",="0.109*",="0.926",="",="",="",="",="-0.130",="0.368",="0.0894",="1.174"
="",="(0.0856)",="(1.776)",="(0.147)",="(1.901)",="(0.0525)",="(1.481)",="",="",="",="",="(0.0926)",="(2.443)",="(0.0859)",="(2.156)"
="Network Size (All)=16",="-0.0183",="-0.660",="-0.0993",="-1.351",="-0.0791*",="-5.234**",="-0.0182",="0.859",="0.355**",="3.538+",="-0.120",="4.688*",="0.0879",="-4.166**"
="",="(0.0808)",="(1.490)",="(0.150)",="(2.815)",="(0.0350)",="(0.991)",="(0.0418)",="(2.786)",="(0.118)",="(2.108)",="(0.0830)",="(1.909)",="(0.0634)",="(1.508)"
="Network Size (All)=18",="0.0607",="-0.675",="",="",="0.0929",="-1.013",="",="",="",="",="",="",="0.159**",="-0.736"
="",="(0.0600)",="(2.025)",="",="",="(0.0697)",="(1.908)",="",="",="",="",="",="",="(0.0531)",="(1.113)"
="Network Size (All)=19",="0.0276",="-3.414**",="",="",="",="",="",="",="",="",="",="",="0.0550",="-4.581**"
="",="(0.0499)",="(1.070)",="",="",="",="",="",="",="",="",="",="",="(0.0742)",="(1.613)"
="Network Size (All)=20",="0.0227",="0.263",="",="",="",="",="-0.149**",="0.603",="",="",="",="",="0.195**",="2.520"
="",="(0.125)",="(2.651)",="",="",="",="",="(0.0412)",="(2.956)",="",="",="",="",="(0.0617)",="(1.675)"
="Network Size (All)=24",="-0.00787",="-1.401",="",="",="",="",="",="",="",="",="",="",="-0.0306",="-1.838"
="",="(0.0467)",="(1.192)",="",="",="",="",="",="",="",="",="",="",="(0.0636)",="(1.848)"
="Network Size (All)=25",="-0.0123",="-4.290",="",="",="",="",="",="",="",="",="",="",="0.0804",="-3.629"
="",="(0.0652)",="(2.582)",="",="",="",="",="",="",="",="",="",="",="(0.0810)",="(2.412)"
="Number of Hasslers",="0.0372**",="1.109**",="0.0357**",="0.948**",="0.00105",="0.340",="0.0157",="0.590+",="-0.000476",="1.168**",="0.00370",="0.0780",="0.00911",="0.758+"
="",="(0.00939)",="(0.359)",="(0.00891)",="(0.290)",="(0.00767)",="(0.282)",="(0.0166)",="(0.316)",="(0.00740)",="(0.234)",="(0.00807)",="(0.269)",="(0.0127)",="(0.432)"
="18-30",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="31-40",="0.0235+",="1.247*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0140)",="(0.546)",="",="",="",="",="",="",="",="",="",="",="",=""
="41-50",="0.0369*",="1.489*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0141)",="(0.728)",="",="",="",="",="",="",="",="",="",="",="",=""
="51-60",="0.0658**",="0.419",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0178)",="(0.719)",="",="",="",="",="",="",="",="",="",="",="",=""
="61-70",="0.0422*",="-0.544",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0175)",="(0.579)",="",="",="",="",="",="",="",="",="",="",="",=""
="71-85",="0.0412*",="-1.674**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0163)",="(0.501)",="",="",="",="",="",="",="",="",="",="",="",=""
="18-30 # Number of Hasslers",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="31-40 # Number of Hasslers",="-0.0314**",="-0.575",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0113)",="(0.482)",="",="",="",="",="",="",="",="",="",="",="",=""
="41-50 # Number of Hasslers",="-0.0162",="-0.644",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0146)",="(0.507)",="",="",="",="",="",="",="",="",="",="",="",=""
="51-60 # Number of Hasslers",="-0.0339*",="0.278",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0129)",="(0.438)",="",="",="",="",="",="",="",="",="",="",="",=""
="61-70 # Number of Hasslers",="-0.0338**",="-1.125**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0121)",="(0.402)",="",="",="",="",="",="",="",="",="",="",="",=""
="71-85 # Number of Hasslers",="-0.0260+",="-0.216",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0146)",="(0.546)",="",="",="",="",="",="",="",="",="",="",="",=""
="Constant",="1.659**",="18.67**",="1.826**",="15.55**",="1.818**",="21.15**",="1.644**",="18.47**",="1.730**",="21.65**",="1.889**",="17.75**",="1.617**",="17.65**"
="",="(0.0570)",="(1.187)",="(0.162)",="(2.373)",="(0.0783)",="(1.883)",="(0.0594)",="(3.136)",="(0.105)",="(1.551)",="(0.0933)",="(2.381)",="(0.0661)",="(1.386)"
="Observations",="2279",="2279",="375",="375",="425",="425",="339",="339",="370",="370",="407",="407",="363",="363"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
