="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Pace (Inter)",="AgeAccel (Inter)",="Pace (reg): Gender 1",="Pace (reg): Gender 2",="AgeAccel (reg): Gender 1",="AgeAccel (reg): Gender 2"
="",="(0.0636)",="(0.976)",="(0.0678)",="(0.0791)",="(0.959)",="(1.313)"
="Network Size (All)=12",="-0.0675",="-1.811+",="-0.0594",="-0.0766",="-3.268*",="-0.544"
="",="(0.0519)",="(0.989)",="(0.0735)",="(0.0792)",="(1.326)",="(1.098)"
="Network Size (All)=13",="0.0109",="-0.546",="0.0284",="-0.00189",="-1.868",="1.261"
="",="(0.0586)",="(1.700)",="(0.0706)",="(0.0814)",="(1.901)",="(2.149)"
="Network Size (All)=14",="-0.00193",="-0.514",="-0.0198",="0.145+",="-1.973",="2.244"
="",="(0.0642)",="(1.341)",="(0.0807)",="(0.0750)",="(1.482)",="(2.000)"
="Network Size (All)=15",="0.105",="0.767",="0.0734",="0.101",="0.950",="0.633"
="",="(0.0905)",="(1.678)",="(0.0652)",="(0.126)",="(0.874)",="(2.132)"
="Network Size (All)=16",="-0.0126",="-0.407",="-0.102",="0.0555",="-2.128",="1.332"
="",="(0.0547)",="(1.439)",="(0.0611)",="(0.0601)",="(1.477)",="(1.644)"
="Network Size (All)=18",="0.0192",="-1.388",="-0.0215",="0.0449",="-0.840",="-0.328"
="",="(0.0602)",="(1.418)",="(0.0700)",="(0.0790)",="(1.354)",="(1.505)"
="Network Size (All)=19",="0.0116",="-3.814**",="-0.0339",="",="-6.450**",=""
="",="(0.0528)",="(0.913)",="(0.0619)",="",="(0.965)",=""
="Network Size (All)=20",="0.0170",="0.0701",="",="0.0374",="",="1.767"
="",="(0.120)",="(2.300)",="",="(0.137)",="",="(2.768)"
="Network Size (All)=22",="0.224**",="-1.824+",="",="0.235**",="",="0.727"
="",="(0.0504)",="(0.940)",="",="(0.0720)",="",="(1.193)"
="Network Size (All)=24",="-0.0223",="-1.675+",="-0.0531",="",="-4.676**",=""
="",="(0.0508)",="(0.972)",="(0.0636)",="",="(1.268)",=""
="Network Size (All)=25",="-0.0782",="-4.222*",="",="-0.0435",="",="-2.108"
="",="(0.0585)",="(1.578)",="",="(0.0777)",="",="(1.522)"
="Number of Hasslers",="0.00252",="0.843**",="0.00328",="0.0200**",="0.785**",="0.685**"
="",="(0.00698)",="(0.253)",="(0.00719)",="(0.00570)",="(0.245)",="(0.163)"
="MALE",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="FEMALE",="0.0228**",="-0.230",="",="",="",=""
="",="(0.00688)",="(0.253)",="",="",="",=""
="MALE # Number of Hasslers",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""
="FEMALE # Number of Hasslers",="0.0196+",="-0.0939",="",="",="",=""
="",="(0.0100)",="(0.254)",="",="",="",=""
="Constant",="1.649**",="20.28**",="1.611**",="1.707**",="19.60**",="20.81**"
="",="(0.0594)",="(1.121)",="(0.0731)",="(0.0725)",="(1.152)",="(1.568)"
="Observations",="2345",="2345",="912",="1433",="912",="1433"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
