outcome,exposure,metric,impact_threshold,unconditional_impact,rir_cases,threshold_effect,rsq,rsq_yz,rsq_xz,corr_y_ov,corr_x_ov
pace,n_size_hassler,IT,.0393438871962843,.0247321228513851,,.0064080984521656,.5781970994300614,.5755914184362567,.0689262107118849,.1292202900406083,.1913950420913995
pace,n_size_hassler,RIR,,,1132,.006,.5781970994300614,.5755914184362567,.0689262107118849,.1292202900406083,.1913950420913995
ageaccelgrim2,n_size_hassler,IT,.0319184080952515,.0131331824742039,,.3448531790823364,.6153438978224151,.6133822335252558,.5620992358055108,.1110865592554542,.1182247660043453
ageaccelgrim2,n_size_hassler,RIR,,,1010,.345,.6153438978224151,.6133822335252558,.5620992358055108,.1110865592554542,.1182247660043453
