="",="(1.595)",="(2.059)",="(0.247)",="(0.110)",="(0.242)",="(0.115)"
="Network Size (All)=11",="-3.334",="-4.004",="-0.0731",="-0.173",="-0.00643",="-0.0861"
="",="(2.182)",="(2.702)",="(0.311)",="(0.127)",="(0.277)",="(0.108)"
="Network Size (All)=12",="-2.233",="-0.511",="-0.304",="-0.238+",="-0.247",="-0.181"
="",="(1.365)",="(2.651)",="(0.261)",="(0.129)",="(0.251)",="(0.125)"
="Network Size (All)=13",="-5.449**",="-2.046",="0.0411",="-0.0688",="0.0581",="-0.0707"
="",="(1.497)",="(2.276)",="(0.293)",="(0.219)",="(0.274)",="(0.190)"
="Network Size (All)=14",="-0.364",="3.138",="-0.00243",="-0.0673",="0.0224",="-0.0394"
="",="(1.478)",="(2.233)",="(0.321)",="(0.173)",="(0.305)",="(0.177)"
="Network Size (All)=15",="0.871",="2.044",="0.481",="0.104",="0.624",="0.292"
="",="(1.209)",="(2.758)",="(0.439)",="(0.213)",="(0.481)",="(0.288)"
="Network Size (All)=16",="0.815",="1.272",="-0.0635",="-0.0525",="0.0232",="0.0689"
="",="(1.334)",="(1.992)",="(0.278)",="(0.184)",="(0.272)",="(0.194)"
="Network Size (All)=18",="0",="0",="0.109",="-0.181",="0.324",="0.0628"
="",="(.)",="(.)",="(0.339)",="(0.184)",="(0.297)",="(0.256)"
="Network Size (All)=19",="0",="0",="0.0718",="-0.494**",="0.113",="-0.438**"
="",="(.)",="(.)",="(0.262)",="(0.118)",="(0.253)",="(0.133)"
="Network Size (All)=20",="0",="0",="0.0966",="0.00759",="0.157",="0.0740"
="",="(.)",="(.)",="(0.597)",="(0.297)",="(0.559)",="(0.249)"
="Network Size (All)=22",="0",="0",="1.095**",="-0.233+",="1.123**",="-0.177"
="",="(.)",="(.)",="(0.248)",="(0.119)",="(0.234)",="(0.123)"
="Network Size (All)=24",="0",="0",="-0.0982",="-0.218+",="-0.439+",="-0.804**"
="",="(.)",="(.)",="(0.252)",="(0.126)",="(0.254)",="(0.144)"
="Network Size (All)=25",="0",="0",="-0.209",="-0.568**",="0.279",="0.0820"
="",="(.)",="(.)",="(0.293)",="(0.207)",="(0.256)",="(0.126)"
="Number of Hasslers",="0.440**",="0.352+",="",="",="",=""
="",="(0.148)",="(0.191)",="",="",="",=""
="Standardized n_size_hassler (z-score)",="",="",="0.0649**",="0.0863**",="",=""
="",="",="",="(0.0163)",="(0.0190)",="",=""
="smoking",="",="",="",="",="0.382**",="0.657**"
="",="",="",="",="",="(0.0490)",="(0.0315)"
="Constant",="5.226**",="5.897**",="2.199**",="2.674**",="2.003**",="2.332**"
="",="(1.311)",="(2.081)",="(0.297)",="(0.146)",="(0.284)",="(0.150)"
="Observations",="2336",="2336",="2345",="2345",="2342",="2342"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
